,Fecha,Hidráulica,Hidroeólica,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Residuos renovables
89,30/03/2020,57.349771000000004,0.000995,234.929098,21.389526999999998,0.5725549999999999,11.945196,1.3709685
90,31/03/2020,62.625326,0.002663,209.342042,20.746396,0.9273980000000001,11.411532999999999,1.483872
91,01/04/2020,88.548545,0.013535,86.096515,32.507785,5.201558,11.421579,1.415567
92,02/04/2020,76.169984,0.004129,121.76494199999999,36.080186000000005,9.359831,12.199111,1.314759
93,03/04/2020,80.40746700000001,0.005129,97.805107,54.222464,19.211439,12.268135000000001,1.2483885000000001
94,04/04/2020,48.63784,0.003677,188.95329500000003,44.787189,7.35796,11.336979999999999,1.252934
95,05/04/2020,50.672419999999995,0.000514,188.727044,43.754453,7.299507999999999,10.080382,1.1952455
96,06/04/2020,80.473535,5.9999999999999995e-05,88.44111199999999,29.870941,0.961207,10.530745000000001,1.2014855
97,07/04/2020,83.029207,0.004367,76.618084,35.83774,6.694107,11.004485,1.2659755
98,08/04/2020,78.351371,0.02189,66.72998600000001,47.077491,7.195983,11.140559999999999,1.1379965
99,09/04/2020,67.38083900000001,0.057741999999999995,91.116817,28.529318,0.160576,11.744042,1.009752
100,10/04/2020,65.035081,0.059354,85.360437,31.546239,3.54529,11.236834,1.013505
101,11/04/2020,69.584334,0.069007,74.758509,39.269601,4.090507,11.491657,1.065919
102,12/04/2020,59.167790999999994,0.058145,105.12006699999999,40.082488,10.690046,10.911991,1.269211
103,13/04/2020,67.601495,0.034428,75.169787,35.014693,5.2963569999999995,11.106045,1.277593
104,14/04/2020,79.429507,0.0157,99.032495,35.043993,7.809682,11.216339,1.2908545
105,15/04/2020,76.980675,0.007715,190.741951,27.806366999999998,3.442691,10.802528,1.24362
106,16/04/2020,81.091469,0.001295,210.902326,34.319613,3.401786,10.639449,1.2124314999999999
107,17/04/2020,99.92647,-0.00047299999999999995,160.81964499999998,31.475749,1.5314780000000001,10.372402,1.080914
108,18/04/2020,108.53985300000001,0.036302,47.955286,36.857108999999994,6.966662,10.95243,0.9927954999999999
109,19/04/2020,105.32470500000001,0.052976,75.030426,34.286019,11.825372999999999,10.772362,0.9722315
110,20/04/2020,106.31842200000001,0.066966,134.949331,36.699502,3.573166,10.226953,0.808631
111,21/04/2020,120.211379,0.088762,180.40452,29.903389999999998,4.214865,10.454662,1.2032995000000002
112,22/04/2020,122.176715,0.06650199999999999,135.228804,42.300304,13.563396000000001,10.815863,1.091808
113,23/04/2020,150.029791,0.047531,63.672276,44.478898,12.719644,11.934502,1.1152795000000002
