,Date,Close
945,2020-08-04,1.04
946,2020-08-05,1.05
947,2020-08-06,1.03
948,2020-08-07,1.03
949,2020-08-08,1.03
950,2020-08-09,1.03
951,2020-08-10,1.0
952,2020-08-11,0.97
953,2020-08-12,1.01
954,2020-08-13,1.0
955,2020-08-14,1.01
956,2020-08-15,1.01
957,2020-08-16,1.01
958,2020-08-17,1.03
959,2020-08-18,1.0
960,2020-08-19,1.04
961,2020-08-20,1.09
962,2020-08-21,1.05
963,2020-08-22,1.05
964,2020-08-23,1.05
965,2020-08-24,1.06
966,2020-08-25,1.08
967,2020-08-26,1.09
968,2020-08-27,1.11
969,2020-08-28,1.15
970,2020-08-29,1.15
971,2020-08-30,1.15
972,2020-08-31,1.15
973,2020-09-01,1.15
974,2020-09-02,1.13
975,2020-09-03,1.09
976,2020-09-04,1.07
977,2020-09-05,1.07
978,2020-09-06,1.07
979,2020-09-07,1.07
980,2020-09-08,1.03
981,2020-09-09,1.07
982,2020-09-10,1.04
983,2020-09-11,1.02
984,2020-09-12,1.02
985,2020-09-13,1.02
986,2020-09-14,1.11
987,2020-09-15,1.1
988,2020-09-16,1.21
989,2020-09-17,1.25
990,2020-09-18,1.29
991,2020-09-19,1.29
992,2020-09-20,1.29
993,2020-09-21,1.05
994,2020-09-22,1.06
995,2020-09-23,0.96
996,2020-09-24,1.01
997,2020-09-25,1.0
998,2020-09-26,1.0
999,2020-09-27,1.0
1000,2020-09-28,1.01
1001,2020-09-29,1.04
1002,2020-09-30,1.0
1003,2020-10-01,1.0
1004,2020-10-02,0.98
1005,2020-10-03,0.98
1006,2020-10-04,0.98
1007,2020-10-05,1.0
1008,2020-10-06,0.99
1009,2020-10-07,1.07
1010,2020-10-08,1.06
1011,2020-10-09,1.03
1012,2020-10-10,1.03
1013,2020-10-11,1.03
1014,2020-10-12,1.02
1015,2020-10-13,1.01
1016,2020-10-14,1.02
1017,2020-10-15,1.01
1018,2020-10-16,0.99
1019,2020-10-17,0.99
1020,2020-10-18,0.99
1021,2020-10-19,0.96
1022,2020-10-20,0.97
1023,2020-10-21,0.96
1024,2020-10-22,0.94
1025,2020-10-23,0.94
1026,2020-10-24,0.94
1027,2020-10-25,0.94
1028,2020-10-26,0.91
1029,2020-10-27,0.92
1030,2020-10-28,0.82
1031,2020-10-29,0.88
1032,2020-10-30,0.86
1033,2020-10-31,0.86
1034,2020-11-01,0.86
1035,2020-11-02,0.86
1036,2020-11-03,0.9
1037,2020-11-04,0.89
1038,2020-11-05,0.91
1039,2020-11-06,0.9
1040,2020-11-07,0.9
1041,2020-11-08,0.9
1042,2020-11-09,0.92
1043,2020-11-10,0.99
1044,2020-11-11,1.07
1045,2020-11-12,1.02
1046,2020-11-13,0.99
1047,2020-11-14,0.99
1048,2020-11-15,0.99
1049,2020-11-16,1.01
1050,2020-11-17,0.96
1051,2020-11-18,0.96
1052,2020-11-19,0.96
1053,2020-11-20,0.98
1054,2020-11-21,0.98
1055,2020-11-22,0.98
1056,2020-11-23,0.99
1057,2020-11-24,1.03
1058,2020-11-25,1.11
1059,2020-11-26,1.11
1060,2020-11-27,1.07
1061,2020-11-28,1.07
1062,2020-11-29,1.07
1063,2020-11-30,1.06
1064,2020-12-01,1.05
1065,2020-12-02,1.08
1066,2020-12-03,1.1
1067,2020-12-04,1.21
1068,2020-12-05,1.21
1069,2020-12-06,1.21
1070,2020-12-07,1.43
1071,2020-12-08,1.48
1072,2020-12-09,1.39
1073,2020-12-10,1.49
1074,2020-12-11,1.5
1075,2020-12-12,1.5
1076,2020-12-13,1.5
1077,2020-12-14,1.6
1078,2020-12-15,1.8
1079,2020-12-16,1.71
1080,2020-12-17,1.84
1081,2020-12-18,1.81
1082,2020-12-19,1.81
1083,2020-12-20,1.81
1084,2020-12-21,1.72
1085,2020-12-22,1.64
1086,2020-12-23,1.75
1087,2020-12-24,1.76
1088,2020-12-25,1.76
1089,2020-12-26,1.76
1090,2020-12-27,1.76
1091,2020-12-28,1.89
1092,2020-12-29,1.83
1093,2020-12-30,1.85
1094,2020-12-31,1.76
1095,2021-01-01,1.76
1096,2021-01-02,1.76
1097,2021-01-03,1.76
1098,2021-01-04,1.8
1099,2021-01-05,1.84
1100,2021-01-06,1.94
1101,2021-01-07,2.07
1102,2021-01-08,2.01
1103,2021-01-09,2.01
1104,2021-01-10,2.01
1105,2021-01-11,1.93
1106,2021-01-12,1.71
1107,2021-01-13,1.77
1108,2021-01-14,1.85
1109,2021-01-15,1.7
1110,2021-01-16,1.7
1111,2021-01-17,1.7
1112,2021-01-18,1.7
1113,2021-01-19,1.64
1114,2021-01-20,1.6
1115,2021-01-21,1.58
1116,2021-01-22,1.7
1117,2021-01-23,1.7
1118,2021-01-24,1.7
1119,2021-01-25,1.69
1120,2021-01-26,1.75
1121,2021-01-27,1.64
1122,2021-01-28,1.64
1123,2021-01-29,1.63
1124,2021-01-30,1.63
1125,2021-01-31,1.63
1126,2021-02-01,1.83
1127,2021-02-02,1.77
1128,2021-02-03,1.75
1129,2021-02-04,1.74
1130,2021-02-05,1.82
1131,2021-02-06,1.82
1132,2021-02-07,1.82
1133,2021-02-08,2.0
1134,2021-02-09,2.16
1135,2021-02-10,2.17
1136,2021-02-11,2.13
1137,2021-02-12,2.26
1138,2021-02-13,2.26
1139,2021-02-14,2.26
1140,2021-02-15,2.26
1141,2021-02-16,2.42
1142,2021-02-17,2.43
1143,2021-02-18,2.16
1144,2021-02-19,2.5
1145,2021-02-20,2.5
1146,2021-02-21,2.5
1147,2021-02-22,2.44
1148,2021-02-23,2.36
1149,2021-02-24,2.31
1150,2021-02-25,2.22
1151,2021-02-26,2.12
1152,2021-02-27,2.12
1153,2021-02-28,2.12
1154,2021-03-01,2.12
1155,2021-03-02,2.38
1156,2021-03-03,2.27
1157,2021-03-04,2.09
1158,2021-03-05,2.04
1159,2021-03-06,2.04
1160,2021-03-07,2.04
1161,2021-03-08,1.99
1162,2021-03-09,2.13
1163,2021-03-10,2.21
1164,2021-03-11,2.41
1165,2021-03-12,2.69
1166,2021-03-13,2.69
1167,2021-03-14,2.69
1168,2021-03-15,2.71
1169,2021-03-16,3.23
1170,2021-03-17,2.95
1171,2021-03-18,2.75
1172,2021-03-19,2.77
1173,2021-03-20,2.77
1174,2021-03-21,2.77
1175,2021-03-22,2.69
1176,2021-03-23,2.62
1177,2021-03-24,2.65
